URL,Label,is_valid
nobell.it/70ffb52d079109dca5664cce6f317373782/login.SkyPe.com/en/cgi-bin/verification/login/70ffb52d079109dca5664cce6f317373/index.php?cmd=_profile-ach&outdated_page_tmpl=p/gen/failed-to-load&nav=0.5.1&login_access=1322408526,bad,True
www.dghjdgf.com/paypal.co.uk/cycgi-bin/webscrcmd=_home-customer&nav=1/loading.php,bad,True
serviciosbys.com/paypal.cgi.bin.get-into.herf.secure.dispatch35463256rzr321654641dsf654321874/href/href/href/secure/center/update/limit/seccure/4d7a1ff5c55825a2e632a679c2fd5353/,bad,False
mail.printakid.com/www.online.americanexpress.com/index.html,bad,False
thewhiskeydregs.com/wp-content/themes/widescreen/includes/temp/promocoessmiles/?84784787824HDJNDJDSJSHD//2724782784/,bad,True
smilesvoegol.servebbs.org/voegol.php,bad,False
premierpaymentprocessing.com/includes/boleto-2via-07-2012.php,bad,False
myxxxcollection.com/v1/js/jih321/bpd.com.do/do/l.popular.php,bad,False
super1000.info/docs,bad,False
horizonsgallery.com/js/bin/ssl1/_id/www.paypal.com/fr/cgi-bin/webscr/cmd=_registration-run/login.php?cmd=_login-run&amp;dispatch=1471c4bdb044ae2be9e2fc3ec514b88b1471c4bdb044ae2be9e2fc3ec514b88b,bad,False
phlebolog.com.ua/libraries/joomla/results.php,bad,False
docs.google.com/spreadsheet/viewform?formkey=dE5rVEdSV2pBdkpSRy11V3o2eDdwbnc6MQ,bad,False
www.coincoele.com.br/Scripts/smiles/?pt-br/Paginas/default.aspx,bad,False
www.henkdeinumboomkwekerij.nl/language/pdf_fonts/smiles.php,bad,False
perfectsolutionofall.net/wp-content/themes/twentyten/wiresource/,bad,False
lingshc.com/old_aol.1.3/?Login=&amp;Lis=10&amp;LigertID=1993745&amp;us=1,bad,False
anonymeidentity.net/remax./remax.htm,bad,False
dutchweb.gtphost.com/zimbra/exch/owa/uleth/index.html,bad,False
www.avedeoiro.com/site/plugins/chase/,bad,False
asladconcentration.com/paplkuk1/webscrcmd=_home-customer&nav=1/,bad,False
www.regaranch.info/grafika/file/2012/atualizacao/www.itau.com.br/,bad,False
optimistic-pessimism.com/aoluserupdatealert.info.htm,bad,False
mercadolivre.com.br.premiosfidelidade2012.com.br/confirmar/,bad,False
